	RBC1	RBC2	RBC3	Ring 1	Ring 2	Ring 3	Trophozoite 1	Trophozoite 2	Trophozoite 3	Schizont 1	Schizont 2	Schizont 3
SM 23:1	18.625	23.625	25.500000000000004	385.00000000000006	355.0	327.50000000000006	75.90511860174794	47.56554307116105	71.91011235955057	41.635687732342014	52.78810408921933	53.53159851301116
SM 24:0	252.25000000000003	244.625	422.49999999999994	4320.0	5290.0	4217.500000000001	1430.2122347066181	852.434456928839	1065.1685393258426	850.9293680297399	940.1486988847583	857.2490706319702
SM 24:1	430.75000000000006	336.75000000000006	608.625	7685.0	8197.5	6455.0	1826.7166042446931	1352.434456928839	1588.7640449438202	1202.6022304832713	1408.1784386617103	1260.2230483271373
SM 24:2	84.375	66.375	121.0	1420.0	1427.5	1367.5	417.4781523096143	290.2621722846442	367.4157303370787	269.1449814126394	292.5650557620818	308.550185873606
SM 24:3	6.0	5.000000000000001	8.375	0.0	0.0	0.0	26.966292134831463	19.850187265917608	25.468164794007496	18.58736059479554	17.1003717472119	23.791821561338296
SM 25:0	9.750000000000002	9.875000000000004	13.500000000000002	205.0	252.5	210.0	53.932584269662925	38.57677902621723	49.438202247191015	39.77695167286246	37.54646840148699	41.635687732342014
SM 25:1	9.500000000000002	11.375000000000002	15.875	0.0	187.5	197.5	48.93882646691648	34.08239700374533	43.82022471910113	36.802973977695174	34.2007434944238	33.457249070631974
SM 26:0	17.624999999999996	16.125000000000004	25.124999999999996	370.0	265.00000000000006	325.00000000000006	80.8988764044944	59.17602996254682	60.299625468164805	47.58364312267659	55.762081784386616	55.762081784386616
SM 26:1	19.750000000000007	19.125000000000004	28.000000000000004	325.00000000000006	427.5	380.0	97.8776529338326	67.41573033707864	81.27340823970037	75.83643122676581	73.60594795539035	75.09293680297398
SM 26:2	8.125000000000002	7.875	12.625	0.0	179.99999999999997	160.0	48.93882646691648	38.95131086142322	46.441947565543074	40.520446096654275	39.033457249070636	37.17472118959108
Cer	51.375	31.375000000000004	66.375	880.0	1017.5000000000002	1027.5000000000002	305.6179775280899	220.2247191011236	197.37827715355806	209.29368029739777	222.67657992565057	182.15613382899633
DHSM	12.625	14.625	26.375	270.0	205.0	137.5	75.90511860174794	89.8876404494382	110.1123595505618	106.31970260223049	198.14126394052047	133.8289962825279
